station,date,temperature,pressure,humidity,condition
melbourne,2017-09-01,10.35,1023.35,58.5,SUNNY
melbourne,2017-09-02,12.85,1017.65,52,SUNNY
melbourne,2017-09-03,15.3,1003.8,40,SUNNY
melbourne,2017-09-04,11.25,1005.95,43,SUNNY
melbourne,2017-09-05,9.9,1008.85,51,SUNNY
melbourne,2017-09-06,10.9,1013.35,70,RAINY
melbourne,2017-09-07,11.55,1017.05,59,SUNNY
melbourne,2017-09-08,10.75,1018.7,53.5,RAINY
melbourne,2017-09-09,11,1023.1,67,SUNNY
melbourne,2017-09-10,10.7,1022.45,61.5,SUNNY
melbourne,2017-09-11,13.1,1015.85,56.5,SUNNY
melbourne,2017-09-12,16.05,1010.2,59.5,SUNNY
melbourne,2017-09-13,14.85,1001.85,65.5,SUNNY
melbourne,2017-09-14,10.55,1013.95,61,SUNNY
melbourne,2017-09-15,13.15,1017.55,70,SUNNY
melbourne,2017-09-16,10.35,1019.25,66.5,RAINY
melbourne,2017-09-17,11.05,1026.05,46.5,SUNNY
melbourne,2017-09-18,16.25,1015.55,31,SUNNY
melbourne,2017-09-19,11.45,1016.3,58,SUNNY
melbourne,2017-09-20,12.6,1019.1,52.5,SUNNY
melbourne,2017-09-21,17.6,1012.15,39.5,SUNNY
melbourne,2017-09-22,19.2,1009.95,51.5,SUNNY
melbourne,2017-09-23,22.7,999.15,27,SUNNY
melbourne,2017-09-24,16.4,1000.9,48,SUNNY
melbourne,2017-09-25,12.25,1007,66,SUNNY
melbourne,2017-09-26,10.05,1016.95,55,SUNNY
melbourne,2017-09-27,17.1,1009.05,47,SUNNY
melbourne,2017-09-28,14.45,1007.7,55.5,SUNNY
melbourne,2017-09-29,14.5,1012.65,45.5,SUNNY
melbourne,2017-09-30,13.2,1015.05,54.5,SUNNY
melbourne,2017-07-01,10.65,1026.75,76.5,SUNNY
melbourne,2017-07-02,9.15,1025.05,80.5,SUNNY
melbourne,2017-07-03,7.3,1014.6,86.5,SUNNY
melbourne,2017-07-04,10,1006.65,76.5,RAINY
melbourne,2017-07-05,13.2,1007.1,61.5,SUNNY
melbourne,2017-07-06,11.05,1002.7,65,SUNNY
melbourne,2017-07-07,9.45,1006.85,74.5,RAINY
melbourne,2017-07-08,11,1020.05,65.5,SUNNY
melbourne,2017-07-09,12.1,1020.9,67,SUNNY
melbourne,2017-07-10,12.9,1008.65,45.5,SUNNY
melbourne,2017-07-11,11.5,1013.2,51.5,SUNNY
melbourne,2017-07-12,12.85,1017.45,63.5,SUNNY
melbourne,2017-07-13,13.35,1019.1,65,SUNNY
melbourne,2017-07-14,14.85,1013.8,46,SUNNY
melbourne,2017-07-15,14.8,1002.1,69.5,SUNNY
melbourne,2017-07-16,12.9,998.25,46,SUNNY
melbourne,2017-07-17,11.75,1001.6,62,SUNNY
melbourne,2017-07-18,10.65,1011.15,69.5,SUNNY
melbourne,2017-07-19,11.2,1026.35,76.5,RAINY
melbourne,2017-07-20,11.3,1024.25,64,SUNNY
melbourne,2017-07-21,10.1,1015.45,71.5,SUNNY
melbourne,2017-07-22,11.4,1018.5,60,SUNNY
melbourne,2017-07-23,12.3,1016.55,56.5,SUNNY
melbourne,2017-07-24,11.65,1023.05,69.5,RAINY
melbourne,2017-07-25,11.45,1027,55.5,SUNNY
melbourne,2017-07-26,13.15,1023.25,50.5,SUNNY
melbourne,2017-07-27,9.9,1023.15,52.5,RAINY
melbourne,2017-07-28,11.5,1024.55,69.5,SUNNY
melbourne,2017-07-29,10.55,1022.8,64.5,SUNNY
melbourne,2017-07-30,12.25,1027.4,74,SUNNY
melbourne,2017-07-31,16.15,1029.4,58,SUNNY
